ticker,percent,price,name
LKOH,15.91,6568,ЛУКОЙЛ
SBER,12.43,258.42,Сбербанк
GAZP,11.61,119.65,ГАЗПРОМ ао
TATN,6.85,603.5,Татнфт 3ао
GMKN,4.11,102.34,ГМКНорНик
NVTK,3.79,967.8,Новатэк ао
TCSG,3.21,2335,ТКСХолд ао
PLZL,3.13,12860,Полюс
SNGS,3.01,24.31,Сургнфгз
SNGSP,2.91,52.925,Сургнфгз-п
SBERP,2.41,258.52,Сбербанк-п
ROSN,2.34,493.55,Роснефть
CHMF,1.91,1226.6,СевСт-ао
IRAO,1.51,3.695,ИнтерРАОао
NLMK,1.46,145.7,НЛМК ао
PIKK,1.45,623.3,ПИК ао
OZON,1.37,3203.5,OZON-адр
FIVE,1.29,,FIVE-гдр
TATNP,1.26,598.6,Татнфт 3ап
MOEX,1.25,208.37,МосБиржа
RUAL,1.19,30.15,РУСАЛ ао
MAGN,1.17,43.5,ММК
MGNT,1.11,4949.5,Магнит ао
RTKM,1.01,75.3,Ростел -ао
ALRS,1.01,49.66,АЛРОСА ао
MTSS,0.99,196,МТС-ао
AGRO,0.81,1181.2,AGRO-гдр
VTBR,0.81,87.18,ВТБ ао
AFLT,0.77,48.23,Аэрофлот
POSI,0.75,2718.4,iПозитив
PHOR,0.69,4998,ФосАгро ао
CBOM,0.63,6.056,МКБ ао
TRNFP,0.63,1359,Транснф ап
AFKS,0.62,15.844,Система ао
VKCO,0.59,345,"МКПАО ""ВК"""
BSPB,0.52,363.91,БСП ао
FLOT,0.5,92.57,Совкомфлот
FEES,0.38,0.08194,Россети
ENPG,0.34,309.8,ЭН+ГРУП ао
GLTR,0.29,479.8,GLTR-гдр
MSNG,0.29,2.1945,+МосЭнерго
UPRO,0.28,1.687,Юнипро ао
SELG,0.27,51.2,Селигдар
MTLR,0.23,104.96,Мечел ао
LEAS,0.23,686.1,Европлан
SMLT,0.21,1814.5,Самолет ао
HYDR,0.21,0.5146,РусГидро
MTLRP,0.15,108.55,Мечел ап
SGZH,0.1,1.386,Сегежа
