SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
AFKS,TQBR,Система ао,17.935,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,18.5,SUR,2024-08-22,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,18.393,SUR,1,1,2024-08-26
AFLT,TQBR,Аэрофлот,46.65,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,47.65,SUR,2024-08-22,3975771215,RU0009062285,Aeroflot,1-01-00010-A,46.9,SUR,1,1,2024-08-26
AGRO,TQBR,AGRO-гдр,1224.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1220.8,USD,2024-08-22,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1213.8,SUR,D,1,2024-08-26
ALRS,TQBR,АЛРОСА ао,52.9,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,54.04,SUR,2024-08-22,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,53.3,SUR,1,1,2024-08-26
BSPB,TQBR,БСП ао,366.07,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,367.92,SUR,2024-08-22,457544031,RU0009100945,BSP,10300436B,364.0,SUR,1,1,2024-08-26
CBOM,TQBR,МКБ ао,6.784,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,6.814,SUR,2024-08-22,33429709866,RU000A0JUG31,MKB ao,10101978B,6.748,SUR,1,1,2024-08-26
CHMF,TQBR,СевСт-ао,1292.8,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1305.6,SUR,2024-08-22,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1297.2,SUR,1,1,2024-08-26
ENPG,TQBR,ЭН+ГРУП ао,335.5,1,7e-05,A,Т+: Акции и ДР - безадрес.,2,МКПАО ЭН+ ГРУП ао,,FNDT,EQIN,,0.05,343.0,USD,2024-08-22,638848896,RU000A100K72,EN+ GROUP IPJSC ORD SHS,1-01-16625-A,336.85,SUR,1,1,2024-08-26
FEES,TQBR,Россети,0.0962,10000,0.5,A,Т+: Акции и ДР - безадрес.,5,"""ФСК - Россети"" ПАО",,FNDT,EQIN,,2e-05,0.09764,SUR,2024-08-22,2113460101477,RU000A0JPNN9,FGC ROSSETI,1-01-65018-D,0.09702,SUR,1,1,2024-08-26
FIVE,TQBR,FIVE-гдр,2798.0,1,0.0,N,Т+: Акции и ДР - безадрес.,1,ГДР X5 RetailGroup N.V.ORD SHS,,FNDT,EQIN,,0.5,2810.5,USD,2024-08-22,0,US98387E2054,GDR X5 RetailGroup N.V.ORD SHS,,2792.5,SUR,D,1,2024-08-26
FLOT,TQBR,Совкомфлот,99.58,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Совкомфлот ао,,FNDT,EQIN,,0.01,99.9,SUR,2024-08-22,2374993901,RU000A0JXNU8,Sovcomflot,1-01-10613-A,99.11,SUR,1,1,2024-08-26
GAZP,TQBR,ГАЗПРОМ ао,118.51,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,120.51,SUR,2024-08-22,23673512900,RU0007661625,Gazprom,1-02-00028-A,119.0,SUR,1,1,2024-08-26
GLTR,TQBR,GLTR-гдр,546.0,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,560.05,USD,2024-08-22,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,552.65,SUR,D,1,2024-08-26
GMKN,TQBR,ГМКНорНик,118.9,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,119.94,SUR,2024-08-22,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,118.58,SUR,1,1,2024-08-26
HYDR,TQBR,РусГидро,0.5778,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.5863,SUR,2024-08-22,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.589,SUR,1,1,2024-08-26
IRAO,TQBR,ИнтерРАОао,3.79,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,3.84,SUR,2024-08-22,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,3.8075,SUR,1,1,2024-08-26
LEAS,TQBR,Европлан,759.2,1,1.0,A,Т+: Акции и ДР - безадрес.,1,ПАО «ЛК «Европлан»,,FNDT,EQIN,,0.1,772.9,SUR,2024-08-22,120000000,RU000A0ZZFS9,Europlan,1-01-16419-A,757.9,SUR,1,1,2024-08-26
LKOH,TQBR,ЛУКОЙЛ,6419.0,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,6415.5,SUR,2024-08-22,692865762,RU0009024277,LUKOIL,1-01-00077-A,6430.0,SUR,1,1,2024-08-26
