SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
AFKS,TQBR,Система ао,15.799,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,15.601,SUR,2024-09-12,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,15.586,SUR,1,1,2024-09-16
AFLT,TQBR,Аэрофлот,47.65,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,47.16,SUR,2024-09-12,3975771215,RU0009062285,Aeroflot,1-01-00010-A,46.81,SUR,1,1,2024-09-16
AGRO,TQBR,AGRO-гдр,1146.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1148.0,USD,2024-09-12,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1138.8,SUR,D,1,2024-09-16
ALRS,TQBR,АЛРОСА ао,48.99,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,48.32,SUR,2024-09-12,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,48.37,SUR,1,1,2024-09-16
BSPB,TQBR,БСП ао,360.36,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,359.32,SUR,2024-09-12,457544031,RU0009100945,BSP,10300436B,360.0,SUR,1,1,2024-09-16
CBOM,TQBR,МКБ ао,5.917,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,5.92,SUR,2024-09-12,33429709866,RU000A0JUG31,MKB ao,10101978B,5.9,SUR,1,1,2024-09-16
CHMF,TQBR,СевСт-ао,1208.4,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1196.8,SUR,2024-09-12,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1194.2,SUR,1,1,2024-09-16
ENPG,TQBR,ЭН+ГРУП ао,308.3,1,7e-05,A,Т+: Акции и ДР - безадрес.,2,МКПАО ЭН+ ГРУП ао,,FNDT,EQIN,,0.05,308.85,USD,2024-09-12,638848896,RU000A100K72,EN+ GROUP IPJSC ORD SHS,1-01-16625-A,306.4,SUR,1,1,2024-09-16
FEES,TQBR,Россети,0.0804,10000,0.5,A,Т+: Акции и ДР - безадрес.,5,"""ФСК - Россети"" ПАО",,FNDT,EQIN,,2e-05,0.08,SUR,2024-09-12,2113460101477,RU000A0JPNN9,FGC ROSSETI,1-01-65018-D,0.07954,SUR,1,1,2024-09-16
FIVE,TQBR,FIVE-гдр,2798.0,1,0.0,N,Т+: Акции и ДР - безадрес.,1,ГДР X5 RetailGroup N.V.ORD SHS,,FNDT,EQIN,,0.5,2810.5,USD,2024-09-12,0,US98387E2054,GDR X5 RetailGroup N.V.ORD SHS,,2792.5,SUR,D,1,2024-09-16
FLOT,TQBR,Совкомфлот,90.3,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Совкомфлот ао,,FNDT,EQIN,,0.01,89.72,SUR,2024-09-12,2374993901,RU000A0JXNU8,Sovcomflot,1-01-10613-A,89.72,SUR,1,1,2024-09-16
GAZP,TQBR,ГАЗПРОМ ао,118.78,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,119.17,SUR,2024-09-12,23673512900,RU0007661625,Gazprom,1-02-00028-A,118.08,SUR,1,1,2024-09-16
GLTR,TQBR,GLTR-гдр,475.1,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,467.95,USD,2024-09-12,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,472.8,SUR,D,1,2024-09-16
GMKN,TQBR,ГМКНорНик,101.5,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,101.52,SUR,2024-09-12,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,101.0,SUR,1,1,2024-09-16
HYDR,TQBR,РусГидро,0.5077,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.5052,SUR,2024-09-12,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.5072,SUR,1,1,2024-09-16
IRAO,TQBR,ИнтерРАОао,3.637,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,3.634,SUR,2024-09-12,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,3.6205,SUR,1,1,2024-09-16
LEAS,TQBR,Европлан,686.8,1,1.0,A,Т+: Акции и ДР - безадрес.,1,ПАО «ЛК «Европлан»,,FNDT,EQIN,,0.1,677.4,SUR,2024-09-12,120000000,RU000A0ZZFS9,Europlan,1-01-16419-A,698.7,SUR,1,1,2024-09-16
LKOH,TQBR,ЛУКОЙЛ,6448.0,1,0.025,A,Т+: Акции и ДР - безадрес.,1,НК ЛУКОЙЛ (ПАО) - ао,,FNDT,EQIN,,0.5,6408.0,SUR,2024-09-12,692865762,RU0009024277,LUKOIL,1-01-00077-A,6400.0,SUR,1,1,2024-09-16
MAGN,TQBR,ММК,42.355,10,1.0,A,Т+: Акции и ДР - безадрес.,3,"""Магнитогорск.мет.комб"" ПАО ао",,FNDT,EQIN,,0.005,42.295,SUR,2024-09-12,11174330000,RU0009084396,MMK,1-03-00078-A,41.96,SUR,1,1,2024-09-16
