SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
AFKS,TQBR,Система ао,19.929,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,20.214,SUR,2024-08-08,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,20.036,SUR,1,1,2024-08-12
AFLT,TQBR,Аэрофлот,50.39,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,51.13,SUR,2024-08-08,3975771215,RU0009062285,Aeroflot,1-01-00010-A,50.52,SUR,1,1,2024-08-12
AGRO,TQBR,AGRO-гдр,1220.4,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1223.0,USD,2024-08-08,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1223.0,SUR,D,1,2024-08-12
ALRS,TQBR,АЛРОСА ао,60.61,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,60.98,SUR,2024-08-08,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,61.03,SUR,1,1,2024-08-12
BSPB,TQBR,БСП ао,362.7,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,365.18,SUR,2024-08-08,457544031,RU0009100945,BSP,10300436B,364.28,SUR,1,1,2024-08-12
CBOM,TQBR,МКБ ао,6.722,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,6.78,SUR,2024-08-08,33429709866,RU000A0JUG31,MKB ao,10101978B,6.742,SUR,1,1,2024-08-12
CHMF,TQBR,СевСт-ао,1377.6,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1389.6,SUR,2024-08-08,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1384.2,SUR,1,1,2024-08-12
ENPG,TQBR,ЭН+ГРУП ао,365.45,1,7e-05,A,Т+: Акции и ДР - безадрес.,2,МКПАО ЭН+ ГРУП ао,,FNDT,EQIN,,0.05,370.1,USD,2024-08-08,638848896,RU000A100K72,EN+ GROUP IPJSC ORD SHS,1-01-16625-A,368.7,SUR,1,1,2024-08-12
FEES,TQBR,Россети,0.0961,10000,0.5,A,Т+: Акции и ДР - безадрес.,5,"""ФСК - Россети"" ПАО",,FNDT,EQIN,,2e-05,0.09738,SUR,2024-08-08,2113460101477,RU000A0JPNN9,FGC ROSSETI,1-01-65018-D,0.0967,SUR,1,1,2024-08-12
FIVE,TQBR,FIVE-гдр,2798.0,1,0.0,N,Т+: Акции и ДР - безадрес.,1,ГДР X5 RetailGroup N.V.ORD SHS,,FNDT,EQIN,,0.5,2810.5,USD,2024-08-08,0,US98387E2054,GDR X5 RetailGroup N.V.ORD SHS,,2792.5,SUR,D,1,2024-08-12
FLOT,TQBR,Совкомфлот,104.52,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Совкомфлот ао,,FNDT,EQIN,,0.01,105.23,SUR,2024-08-08,2374993901,RU000A0JXNU8,Sovcomflot,1-01-10613-A,104.28,SUR,1,1,2024-08-12
GAZP,TQBR,ГАЗПРОМ ао,128.14,10,5.0,A,Т+: Акции и ДР - безадрес.,2,"""Газпром"" (ПАО) ао",,FNDT,EQIN,,0.01,129.27,SUR,2024-08-08,23673512900,RU0007661625,Gazprom,1-02-00028-A,128.38,SUR,1,1,2024-08-12
GLTR,TQBR,GLTR-гдр,614.0,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,615.35,USD,2024-08-08,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,604.8,SUR,D,1,2024-08-12
GMKN,TQBR,ГМКНорНик,122.88,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,123.98,SUR,2024-08-08,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,123.32,SUR,1,1,2024-08-12
