ticker,price,lotSize,date,name
AFKS,19.817,100,2024-08-15,AFK Sistema
AFLT,49.04,10,2024-08-15,Aeroflot
AGRO,1233.2,1,2024-08-15,GDR ROS AGRO PLC ORD SHS
ALRS,58.7,10,2024-08-15,ALROSA ao
BSPB,359.71,10,2024-08-15,BSP
CBOM,6.767,100,2024-08-15,MKB ao
CHMF,1382.0,1,2024-08-15,Severstal - ao
ENPG,365.45,1,2024-08-15,EN+ GROUP IPJSC ORD SHS
FEES,0.1,10000,2024-08-15,FGC ROSSETI
FIVE,2798.0,1,2024-08-15,GDR X5 RetailGroup N.V.ORD SHS
FLOT,103.2,10,2024-08-15,Sovcomflot
GAZP,127.6,10,2024-08-15,Gazprom
GLTR,594.7,1,2024-08-15,GDR Globaltrans Inves ORD SHS
GMKN,125.0,10,2024-08-15,NorNickel GMK
HYDR,0.5981,1000,2024-08-15,RusGidro
IRAO,3.844,100,2024-08-15,Inter RAO ao
LEAS,841.3,1,2024-08-15,Europlan
LKOH,6347.0,1,2024-08-15,LUKOIL
MAGN,49.96,10,2024-08-15,MMK
MGNT,5480.0,1,2024-08-15,Magnit
MOEX,223.79,10,2024-08-15,MoscowExchange
MSNG,2.5855,1000,2024-08-15,MosEnrg
MTLR,150.2,1,2024-08-15,Mechel
MTLRP,156.75,10,2024-08-15,Mechel pref.
MTSS,222.6,10,2024-08-15,MTS
NLMK,161.9,10,2024-08-15,NLMK ao
NVTK,1029.0,1,2024-08-15,NOVATEK
OZON,3519.5,1,2024-08-15,ADS Ozon Holdings PLC ORD SHS
PHOR,5451.0,1,2024-08-15,PhosAgro ao
PIKK,772.7,1,2024-08-15,PIK SZ
PLZL,12591.5,1,2024-08-15,Polus
POSI,2824.2,1,2024-08-15,PJSC Positive Group
ROSN,493.75,1,2024-08-15,Rosneft
RTKM,84.37,10,2024-08-15,Rostelecom
RUAL,34.335,10,2024-08-15,RUSAL ao
SBER,278.01,10,2024-08-15,Sberbank
SBERP,277.3,10,2024-08-15,Sberbank (pref)
SELG,54.85,10,2024-08-15,Seligdar
SGZH,2.185,100,2024-08-15,Segezha
SMLT,2506.0,1,2024-08-15,Samolet
SNGS,26.22,100,2024-08-15,Surgut
SNGSP,48.76,100,2024-08-15,Surgut-pref
TATN,608.5,1,2024-08-15,Tatneft-3
TATNP,608.3,1,2024-08-15,Tatneft (pref)
TCSG,2567.0,1,2024-08-15,IPJSC TCS Holding
TRNFP,1372.5,1,2024-08-15,Transneft (pref)
UPRO,1.869,1000,2024-08-15,Unipro PAO ao
VKCO,409.8,1,2024-08-15,VK International Public JS Com
VTBR,99.28,1,2024-08-15,VTB
